ESVId,Kingdom,Phylum,Class,Order,Family,Genus,Species
ESV_043672,Eukaryota,Oomycota,unk_class,unk_order,unk_family,Haptoglossa,Haptoglossa sp. DM2 4/12
ESV_021524,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus prasinos
ESV_021727,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus prasinos
ESV_021609,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla
ESV_043958,Eukaryota,,,,,,
ESV_021559,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla
ESV_025329,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus prasinos
ESV_043763,Eukaryota,,,,,,
ESV_043828,Eukaryota,Chordata,Aves,Passeriformes,Corvidae,Aphelocoma,
ESV_043764,Eukaryota,Arthropoda,Branchiopoda,Diplostraca,Macrotrichidae,Macrothrix,Macrothrix sp. HE-364
ESV_021651,Eukaryota,Picozoa,,,,,
ESV_043773,Eukaryota,,,,,,
ESV_027796,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus prasinos
ESV_043791,Eukaryota,Cnidaria,Hydrozoa,Anthoathecata,Rathkeidae,Podocorynoides,Podocorynoides minima
ESV_043926,Eukaryota,Arthropoda,,,,,
ESV_043790,Eukaryota,Annelida,Polychaeta,Phyllodocida,Polynoidae,,
ESV_043726,Eukaryota,,,,,,
ESV_043699,Eukaryota,Picozoa,,,,,
ESV_022185,Eukaryota,Picozoa,,,,,
ESV_021641,Eukaryota,Picozoa,,,,,
ESV_043829,Eukaryota,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Rhynchobrunnera,Rhynchobrunnera orthospora
