ESVId,Kingdom,Phylum,Class,Order,Family,Genus,Species
ESV_027153,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Halichoeres,Halichoeres californicus
ESV_010025,Eukaryota,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax
ESV_011415,Eukaryota,Chordata,Aves,Passeriformes,Corvidae,Aphelocoma,Aphelocoma coerulescens
ESV_005946,Eukaryota,Chordata,Actinopteri,Centrarchiformes,Girellidae,Girella,
ESV_000878,Eukaryota,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,,
ESV_027125,Eukaryota,Chordata,Actinopteri,Perciformes,Serranidae,Paralabrax,Paralabrax clathratus
ESV_027151,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Cynoglossidae,Symphurus,Symphurus atricaudus
ESV_001067,Eukaryota,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,Leuresthes,Leuresthes tenuis
ESV_024792,Eukaryota,Chordata,Actinopteri,unk_order,Embiotocidae,Brachyistius,Brachyistius frenatus
ESV_027148,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Semicossyphus,Semicossyphus pulcher
ESV_000129,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Sardinops,
ESV_002475,Eukaryota,Chordata,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus
ESV_000003,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens
ESV_002585,Eukaryota,Chordata,Actinopteri,Centrarchiformes,Kyphosidae,Medialuna,Medialuna californiensis
ESV_027129,Eukaryota,Chordata,Actinopteri,unk_order,Embiotocidae,Embiotoca,Embiotoca jacksoni
ESV_027192,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Sardinops,
ESV_027189,Eukaryota,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,Leuresthes,Leuresthes tenuis
ESV_027128,Eukaryota,Chordata,Actinopteri,Lutjaniformes,Haemulidae,,
ESV_027122,Eukaryota,Chordata,Actinopteri,Centrarchiformes,Kyphosidae,Hermosilla,Hermosilla azurea
ESV_027138,Eukaryota,Chordata,Actinopteri,unk_order,Opistognathidae,Opistognathus,Opistognathus aurifrons
ESV_027123,Eukaryota,Chordata,Actinopteri,Lutjaniformes,Haemulidae,Haemulon,Haemulon plumierii
ESV_027126,Eukaryota,Chordata,Actinopteri,unk_order,Sciaenidae,Seriphus,Seriphus politus
ESV_027252,Eukaryota,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax
ESV_001712,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Sardinops,
ESV_005446,Eukaryota,Chordata,Actinopteri,unk_order,Pomacentridae,Chromis,Chromis punctipinnis
ESV_027124,Eukaryota,Chordata,Actinopteri,unk_order,Opistognathidae,Opistognathus,Opistognathus evermanni
ESV_027205,Eukaryota,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax
ESV_027154,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Halichoeres,Halichoeres californicus
ESV_027356,Eukaryota,Chordata,Actinopteri,Beloniformes,Exocoetidae,,
ESV_027193,Eukaryota,Chordata,Actinopteri,Blenniiformes,Labrisomidae,Paraclinus,Paraclinus marmoratus
ESV_027162,Eukaryota,Chordata,Aves,Passeriformes,Corvidae,,
ESV_027190,Eukaryota,Chordata,Actinopteri,Blenniiformes,Labrisomidae,Paraclinus,Paraclinus marmoratus
ESV_027216,Eukaryota,Chordata,Actinopteri,Blenniiformes,Blenniidae,,
ESV_027131,Eukaryota,Chordata,Actinopteri,unk_order,Sciaenidae,,
ESV_027195,Eukaryota,Chordata,Actinopteri,unk_order,Sphyraenidae,Sphyraena,Sphyraena helleri
ESV_027149,Eukaryota,Chordata,Actinopteri,NA,Sciaenidae,Menticirrhus,Menticirrhus undulatus
ESV_004707,Eukaryota,Chordata,Actinopteri,Scombriformes,Scombridae,Scomber,
ESV_027377,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Halichoeres,Halichoeres californicus
ESV_027133,Eukaryota,Chordata,Actinopteri,Blenniiformes,Gobiesocidae,Rimicola,Rimicola muscarum
ESV_027352,Eukaryota,Chordata,Actinopteri,Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax unicolor
ESV_023862,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Cyclopsettidae,Citharichthys,Citharichthys stigmaeus
ESV_027411,Eukaryota,Chordata,Actinopteri,Anguilliformes,Congridae,Gnathophis,
ESV_027308,Eukaryota,Chordata,Actinopteri,Beloniformes,Belonidae,Strongylura,Strongylura exilis
ESV_000075,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,,
ESV_000862,Eukaryota,Chordata,Actinopteri,Perciformes,Scorpaenidae,Scorpaenodes,Scorpaenodes evides
ESV_027302,Eukaryota,Chordata,Actinopteri,unk_order,Embiotocidae,,
ESV_027150,Eukaryota,Chordata,Actinopteri,Centrarchiformes,Girellidae,Girella,Girella nigricans
ESV_027310,Eukaryota,Chordata,Aves,Passeriformes,Corvidae,Aphelocoma,Aphelocoma coerulescens
ESV_027374,Eukaryota,Chordata,Actinopteri,Scombriformes,Scombridae,Sarda,
ESV_027199,Eukaryota,Chordata,Actinopteri,Gobiiformes,Gobiidae,,
ESV_027196,Eukaryota,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,Leuresthes,Leuresthes tenuis
ESV_027333,Eukaryota,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes mystinus
ESV_027215,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,,
ESV_027444,Eukaryota,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax
ESV_027378,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Halichoeres,Halichoeres californicus
ESV_027136,Eukaryota,Chordata,Actinopteri,Blenniiformes,Gobiesocidae,Rimicola,Rimicola muscarum
ESV_027316,Eukaryota,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,,
ESV_027152,Eukaryota,Chordata,Actinopteri,Centrarchiformes,Kyphosidae,Hermosilla,Hermosilla azurea
ESV_027363,Eukaryota,Chordata,Actinopteri,Blenniiformes,Gobiesocidae,Rimicola,Rimicola muscarum
ESV_027191,Eukaryota,Chordata,Actinopteri,unk_order,Embiotocidae,Micrometrus,Micrometrus minimus
ESV_027130,Eukaryota,Chordata,Actinopteri,,,,
ESV_027319,Eukaryota,Chordata,Actinopteri,Blenniiformes,Gobiesocidae,Gobiesox,Gobiesox maeandricus
ESV_027353,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,Clinocottus,Clinocottus analis
ESV_027306,Eukaryota,Chordata,Aves,Passeriformes,Corvidae,Aphelocoma,Aphelocoma coerulescens
ESV_027379,Eukaryota,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax
ESV_027194,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Halichoeres,Halichoeres californicus
ESV_023844,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Cyclopsettidae,Citharichthys,Citharichthys stigmaeus
ESV_027241,Eukaryota,Chordata,Actinopteri,unk_order,Opistognathidae,,
ESV_027389,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Halichoeres,Halichoeres californicus
ESV_027155,Eukaryota,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,Leuresthes,Leuresthes tenuis
ESV_027282,,,,,,,
ESV_027253,Eukaryota,Chordata,Actinopteri,Atheriniformes,Atherinopsidae,,
ESV_027445,Eukaryota,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax
ESV_027430,Eukaryota,Chordata,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax
